site_no,eolian_sediment_fine
06827000,0.19234708646188703
06835500,0.05218659261033796
06848500,0.6282697220010605
07142575,0.1863295924136341
07155590,0.0378470022700146
06836500,0.9439292336239912
07228000,0.01307077118830466
06449100,0.2302156329113111
08080700,0
06794000,0.345218850637006
07299890,0
06461500,0.02788252001295168
06768000,0.07968075068122402
07140850,0.6051214617986276
06768035,0.08153127390617607
06800000,0.8833361853310664
06447500,0.33238303744676934
06792500,0.345218850637006
07138070,0.10134027384732552
06449500,0.14068322978894068
06799100,0.7102102008048563
07143665,0.5570928916356598
06834000,0.01596322540856807
07233500,0
06768020,0.07220637317846879
06799350,0.43186141485962
07144910,0.519494585663437
06824000,0
06773500,0.07596673957943519
06796500,0.14971759703168736
06764880,0.07245256780838405
06824500,0.19210604795320307
06785000,0.3964561678494444
06827500,0.29698858965443076
06449000,0.1703161320165813
06772775,0
06446700,0.1999182233593409
07235000,0
07139000,0.11986093981653456
06464500,0
06674500,0.00559603902232738
07143300,0.8357226509879631
06797500,0
06799315,0.3987438502917651
06821500,0.33575986754128717
06769000,0
07141900,0.5587801262900058
07141220,0.18326706975604556
07142300,0.27831058120661206
06837000,0.2509098900595321
07142680,0.19812646985258045
06793000,0.34476794680375455
06772898,0
06852500,0.06933974363273263
06844500,0.366454193672949
06775500,0
06464100,0
06799000,0.19083715494184164
06853020,0.4569265984855297
06652000,0.00548707016458739
06770500,0.08796109762558177
07143330,0.20257248141729836
07141300,0.1835003956791448
07234000,0.10187338869368948
06794650,0.3200363563477932
06843500,0.31947458145264085
07156900,0.3102310911385094
06795500,0.3585000752276045
07157500,0.762145497094758
06847900,0.7070990832725123
07144100,0.32957028919727077
07143672,0.5352196209794755
07143375,0.20248188717712395
06880800,0.6571163802314781
06847500,0.7178314705013898
07295500,0
06657000,0.00503118291778326
06670500,0.00548618212985733
06775900,0
06769525,0.923038570945397
06847000,0.7066718482174973
06786000,0.00944347102984624
06784000,0.8087091892084428
06785500,0
07144200,0.312787618468824
06853500,0.451833464544136
06770200,0.08611599214011127
06762500,0
06828500,0.25497230979371266
06823000,0.04645366606560957
06823500,0
06846500,0.6926980092193014
06845110,0.7537423969433105
07141780,0.6217205806188438
07141200,0.5660501511615798
06838000,0.3432469113152282
