site_no,urban
06827000,0.013212672555105505
06835500,0.015865256854818127
06848500,0.021488864305756646
07142575,0.021080818357547344
07155590,0.004858575096432231
06836500,0.01393311802928276
07228000,0.006301866280967142
06449100,0.006130979556298543
08080700,0.028552862240572782
06794000,0.0041890021564463574
07299890,0.028898079132495612
06461500,0.0032231217544651477
06768000,0.024960220821684802
07140850,0.01193647065519732
06768035,0.02494555579326591
06800000,0.015003387710230912
06447500,0.007395244041619808
06792500,0.0041890021564463574
07138070,0.01607141694744719
06449500,0.0051470756112652295
06799100,0.022478073260110604
07143665,0.03512033013409384
06834000,0.017901921316825147
07233500,0.0177260329208687
06768020,0.0250871851732632
06799350,0.017971013193450115
07144910,0.0447813972128559
06824000,0.0185509722721524
06773500,0.014702813366291098
06796500,0.02130059822886353
06764880,0.051533450163832775
06824500,0.010862914544676312
06785000,0.004410389996324594
06827500,0.012703235935076738
06449000,0.00611523296304098
06772775,0.18800790802433193
06446700,0.00465941359192581
07235000,0.005538835623749103
07139000,0.016222856662845966
06464500,0.008654875199070928
06674500,0.0045647929376698
07143300,0.04355153854931679
06797500,0.011090954496089147
06799315,0.018183077994276584
06821500,0.011387756483090239
06769000,0.04163463930273143
07141900,0.01642543410166563
07141220,0.016972679274634327
07142300,0.01906438583049725
06837000,0.012797378695565268
07142680,0.017408177976821836
06793000,0.004188067169519732
06772898,0.02194547997177789
06852500,0.007707422625751119
06844500,0.01243475355135354
06775500,0.001213916174013167
06464100,0.007785818573099019
06799000,0.012793206657627829
06853020,0.01385624428884026
06652000,0.004452588319768854
06770500,0.02491523713570752
07143330,0.018250716745809917
07141300,0.017062240129461097
07234000,0.014906260985015
06794650,0.01191735035110367
06843500,0.012521236397537033
07156900,0.014869531128351047
06795500,0.004405999016728271
07157500,0.023307284301827706
06847900,0.022831978401200263
07144100,0.041870635898069726
07143672,0.034129896866461
07143375,0.018303309728994292
06880800,0.03257897410352125
06847500,0.01697237062502221
07295500,0.019183270116863046
06657000,0.004308302649587095
06670500,0.004846901213465413
06775900,6.91721546097048e-4
06769525,0.0159153980026025
06847000,0.016090936288899137
06786000,4.65713046340139e-4
06784000,0.00750020265241528
06785500,2.2311276625743172e-4
07144200,0.04191260076600394
06853500,0.013917130259395886
06770200,0.02487635003497085
06762500,0.009637700444339295
06828500,0.01146326835221793
06823000,0.014366101379047888
06823500,0.00383675384575116
06846500,0.016987870113139392
06845110,0.01906514462731977
07141780,0.014841699660115884
07141200,0.015911629349372788
06838000,0.009775439089684193
