site_no,colluvial_sediment
06827000,0
06835500,0.39180226640495186
06848500,0.2674283473139426
07142575,0
07155590,0.0087337088927639
06836500,0.01187272671469958
07228000,0.12753079825004046
06449100,0
08080700,0.01146771705749114
06794000,0.00345156732312373
07299890,0.6739817658135321
06461500,0.04652622212732629
06768000,0.00542252148937361
07140850,0.29573681368202
06768035,0.00541046349981024
06800000,0
06447500,0
06792500,0.00345156732312373
07138070,0.00407600332539804
06449500,0.09040062547697388
06799100,0.05524016135225464
07143665,0.1034779497346173
06834000,0.28399208015917693
07233500,0.13818070155559997
06768020,0.00548745288542784
06799350,0.02372529785296117
07144910,0
06824000,0.2965668281576046
06773500,3.263730876558901e-4
06796500,0.00470724908176472
06764880,0.00323986226543964
06824500,0.03030709986245982
06785000,0.00217838327549939
06827500,0.05402276763572494
06449000,0
06772775,0
06446700,0.5676516665800234
07235000,0.4817749515637989
07139000,0.00395220952933716
06464500,0.11502324345331526
06674500,0.00240623588488352
07143300,0.02302013584350016
06797500,0.03234296822497776
06799315,0.02555540232340529
06821500,0.00281893881092691
06769000,0
07141900,0.33958378363810454
07141220,0.0294494575173787
07142300,0
06837000,0.1615487682841121
07142680,0.0452958430887165
06793000,0.00344830652658988
06772898,0
06852500,0
06844500,0.14638626332921792
06775500,0
06464100,0.01457043856939925
06799000,0.01627680232719856
06853020,0.16655011680848808
06652000,0.00182536467631884
06770500,0.00530769570560408
07143330,0.04906313391178887
07141300,0.03044836448841514
07234000,0.1833563041471131
06794650,0
06843500,0.15676303687194398
07156900,0.0087396867349211
06795500,0.00336882146863521
07157500,0.02395568023297721
06847900,0.25408457252831235
07144100,0.06125747545861518
07143672,0.0994150703917364
07143375,0.04878110693958404
06880800,0
06847500,0.19951535364329256
07295500,0
06657000,0.00167370624080782
06670500,0.0055618305412789
06775900,0
06769525,0
06847000,0.18292706285594043
06786000,0
06784000,0
06785500,0
07144200,0.06560104694259537
06853500,0.16664297728941954
06770200,0.00534671635542901
06762500,0
06828500,0.07424362849841716
06823000,0
06823500,0
06846500,0.1962460623388952
06845110,0.2153502135255251
07141780,0.31039439206938196
07141200,0.33437983165182805
06838000,0.3288154362171052
