site_no,other
06827000,0.017620188322958162
06835500,0.0037687367786236187
06848500,0.006103568350801811
07142575,0.008464477181087202
07155590,0.35817832076736283
06836500,0.0011019905207076454
07228000,0.5644244412864144
06449100,0.07060296059422244
08080700,0.15006332586059268
06794000,0.03041511391862907
07299890,0.40973551885007575
06461500,0.03121513780229142
06768000,0.25946534706130436
07140850,0.0028004544525485407
06768035,0.25897564378509735
06800000,0.0013261863499616322
06447500,0.0490477019028973
06792500,0.03041511391862907
07138070,0.17391543873029203
06449500,0.05846844081670188
06799100,0.006290653156163541
07143665,0.0013979565145056112
06834000,0.0027509465639819395
07233500,0.1010478250616977
06768020,0.26164894551996287
06799350,0.05023248744270839
07144910,0.00791052613516098
06824000,0
06773500,0.011059882205672323
06796500,0.20385674739262274
06764880,0.08793101409533943
06824500,0.004660080131272419
06785000,0.024162327483468842
06827500,0.014555048862652294
06449000,0.1583215050313829
06772775,0.03233111785239874
06446700,0.007794795795202799
07235000,0.07899508677131932
07139000,0.16911289160974963
06464500,0.03959785601106471
06674500,0.5596684326487921
07143300,0
06797500,0.11211027113596506
06799315,0.05266003738114608
06821500,0.005947013601456491
06769000,0
07141900,0.0021271226101005018
07141220,0.14528049840373672
07142300,0.005023770580045814
06837000,0.007755114649537414
07142680,0.1302332457930815
06793000,0.03068362147170856
06772898,0.002096748284270331
06852500,0.06183736833843539
06844500,0.009049234903103078
06775500,0.03591684584185168
06464100,0.03241326163294694
06799000,0.07801699769783274
06853020,0.008328270092199334
06652000,0.7114722574436504
06770500,0.25507849225007223
07143330,0.12663258039784964
07141300,0.14382750785635448
07234000,0.17113553540911494
06794650,0.0031288839548496744
06843500,0.008496783293174336
07156900,0.24127418667296557
06795500,0.029846950391586812
07157500,0.008323141521549858
06847900,0.002570018590252524
07144100,0.001399845426932776
07143672,0.0014492255597239503
07143375,0.125932858378147
06880800,0.00956423913379671
06847500,0.0033776017386339817
07295500,0.2568529835352458
06657000,0.6584665552864895
06670500,0.35241663577751353
06775900,0.04524043188453751
06769525,0.00418035670658564
06847000,0.0027890822283453097
06786000,0.0474649546182043
06784000,0.01719423616192505
06785500,0.05169156647963293
07144200,0.001328555281356474
06853500,0.00837180062276953
06770200,0.2562564689159723
06762500,0.047467507931918666
06828500,0.008656099947925884
06823000,0.0024763888539773658
06823500,2.1016291889341753e-4
06846500,0.0020530704403013676
06845110,0.003583934747112488
07141780,0.002371105912546496
07141200,0.0023968106069402278
06838000,0.008691967122799533
