site_no,eolian_sediment_coarse
06827000,0.11326625176384646
06835500,0.25961862913394856
06848500,0
07142575,0.6705147277013935
07155590,0.1518327765212369
06836500,0
07228000,0.12927884082847316
06449100,0.5092390474183298
08080700,0.9686208877175104
06794000,0.5663027577639214
07299890,0.32601823418646797
06461500,0.508686033983214
06768000,0.13633145439927394
07140850,0
06768035,0.13602869556489083
06800000,0
06447500,0.3445966935744532
06792500,0.5663027577639214
07138070,0.10357595926033147
06449500,0.5936801869810929
06799100,0.0192590309162331
07143665,0.12171466732319423
06834000,0.3254885963239218
07233500,0.8518732449055029
06768020,0.13796439693422008
06799350,0.3340825541648894
07144910,0.20607313431384897
06824000,0.6991337961834686
06773500,0.3591765725189582
06796500,0.2108292337437862
06764880,0.11236925869862452
06824500,0.4862648851490596
06785000,0.5294444036610676
06827500,0.09292980899834452
06449000,0.48122146233022334
06772775,0
06446700,0.01299681903857215
07235000,0.5137095186680286
07139000,0.10706387668076373
06464500,0.6056834662958411
06674500,0.03128779653948774
07143300,0
06797500,0.7070605866957728
06799315,0.35677970716034463
06821500,0.23540383618599503
06769000,0
07141900,0.0028681540878242
07141220,0.10930498311030698
07142300,0.6248745858578572
06837000,0.2622936016962474
07142680,0.1329864144939905
06793000,0.5657677549965539
06772898,0.00881699471791363
06852500,0.6157605173759211
06844500,0.2287912064137068
06775500,0.9552954232744336
06464100,0.6629530404339127
06799000,0.5346052671659085
06853020,0.15502100194979906
06652000,0.02667718773070566
06770500,0.13499299220322775
07143330,0.13346417362086835
07141300,0.11128017215324772
07234000,0.4718972956355136
06794650,0
06843500,0.2494103625240404
07156900,0.25502963083871655
06795500,0.552726546957761
07157500,0.05973491693677817
06847900,0
07144100,0.11315712226626484
07143672,0.13391921964155834
07143375,0.13277782936101376
06880800,0
06847500,0
07295500,0.9134972436466854
06657000,0.02580832231091795
06670500,0.03256067351116239
06775900,0.9500473102660116
06769525,0
06847000,0
06786000,0.9080483786869454
06784000,0.11951689446374156
06785500,0.9277795542671216
07144200,0.10739117286561706
06853500,0.15274206958185688
06770200,0.13512562234434025
06762500,0
06828500,0.2988979451785115
06823000,0.77134771381528
06823500,0.9577889051457698
06846500,0
06845110,0
07141780,0.00359317582117963
07141200,0
06838000,0.2982799662917803
