site_no,crops
06827000,0.4767654634141088
06835500,0.6039272856086647
06848500,0.6318993892802641
07142575,0.6597504740754401
07155590,0.04383523311762812
06836500,0.5265552621747627
07228000,0.05223069520921218
06449100,0.2635261975035434
08080700,0.7251672673548367
06794000,0.15916775613678658
07299890,0.18949979726951377
06461500,0.09082228057661074
06768000,0.13965872917595645
07140850,0.5732501248950839
06768035,0.14132897679646997
06800000,0.9175905155789524
06447500,0.37719141534438494
06792500,0.15916775613678658
07138070,0.11222081462159245
06449500,0.1758451603910468
06799100,0.7889573986782024
07143665,0.7019729359092409
06834000,0.6257555611009803
07233500,0.6689031053633814
06768020,0.13744889154265738
06799350,0.5019165271105912
07144910,0.7301786086276948
06824000,0.19045067439089217
06773500,0.7328109890583624
06796500,0.17764477896844694
06764880,0.22413060690874345
06824500,0.3889436881864805
06785000,0.15495320060665171
06827500,0.4733054758624008
06449000,0.14434581204052294
06772775,0.6693849219019663
06446700,0.16157071950312854
07235000,0.3823690093629128
07139000,0.13172018409065958
06464500,0.09973198241220112
06674500,0.01465652292229654
07143300,0.8778768113083972
06797500,0.09770418714156053
06799315,0.4733248962182536
06821500,0.44582265137554905
06769000,0.9184192366941198
07141900,0.597099030180973
07141220,0.2054800329365404
07142300,0.6450469263561064
06837000,0.4702783115809799
07142680,0.25413933779633074
06793000,0.15945474849758476
06772898,0.8419084249331503
06852500,0.354999380426756
06844500,0.4527699296342766
06775500,0.00353993577663394
06464100,0.08449132188050036
06799000,0.29693774297975256
06853020,0.5007051413339632
06652000,0.00392966312279743
06770500,0.1506176157547796
07143330,0.2697262538526851
07141300,0.2118484272002278
07234000,0.4063184902316741
06794650,0.6814420327149454
06843500,0.4512259908041541
07156900,0.33062539672579977
06795500,0.17688812111958055
07157500,0.6815365767922308
06847900,0.695422010117084
07144100,0.7199247012200121
07143672,0.6941205811121176
07143375,0.2729613697486994
06880800,0.889526461267699
06847500,0.6431427155132541
07295500,0.4663094018531941
06657000,0.00517011332767862
06670500,0.02016617966413862
06775900,0.00172738999380309
06769525,0.42299624295776855
06847000,0.6371834135594597
06786000,0.01371041716021108
06784000,0.2694778306364699
06785500,0.00661149071820955
07144200,0.7237281140235858
06853500,0.5006611480784543
06770200,0.14697579519986564
06762500,0.2229071445499321
06828500,0.4251020605041331
06823000,0.3569319727889947
06823500,0.31595062613355873
06846500,0.6549451956981053
06845110,0.6775549921705504
07141780,0.6028925288569279
07141200,0.5713581906767249
06838000,0.3840723361148369
