site_no,grassland
06827000,0.4571951579270668
06835500,0.35422236797629175
06848500,0.3357879164154983
07142575,0.30900159495980156
07155590,0.48899596786415
06836500,0.456518990882354
07228000,0.27777890956901263
06449100,0.6276218581752786
08080700,0.09173403573789296
06794000,0.7909189421126295
07299890,0.34634372984280754
06461500,0.8549401382181577
06768000,0.44808747793956594
07140850,0.3587205554862005
06768035,0.4471810201300429
06800000,0.05948912999906839
06447500,0.532484805552236
06792500,0.7909189421126295
07138070,0.5552135033524378
06449500,0.7020926915694089
06799100,0.17422635894693828
07143665,0.2341582353945298
06834000,0.3260386980687702
07233500,0.20753939151722467
06768020,0.446887538703482
06799350,0.3993192676209804
07144910,0.214931228293529
06824000,0.7909983533369556
06773500,0.22689533280688876
06796500,0.49608480656438314
06764880,0.47450478476282176
06824500,0.5762796216080803
06785000,0.8041410922016257
06827500,0.46971888545074886
06449000,0.6511262956910513
06772775,0.08144300703761342
06446700,0.771396992995362
07235000,0.5243675944177083
07139000,0.5435512015429309
06464500,0.8352372869155998
06674500,0.27609630356611986
07143300,0.06069777424463831
06797500,0.7386315289907899
06799315,0.4247467468065478
06821500,0.5099002937027358
06769000,0.03420424449529531
07141900,0.3573564082317818
07141220,0.5084118639986037
07142300,0.32926999022327724
06837000,0.4879513854772612
07142680,0.4863229214990348
06793000,0.7903064406766724
06772898,0.10561780670602336
06852500,0.48902733248174113
06844500,0.5071400081243959
06775500,0.947464925692633
06464100,0.8519906212045337
06799000,0.5693840150212038
06853020,0.46143541771850694
06652000,0.12308331897544408
06770500,0.44385501010588174
07143330,0.4763667316323518
07141300,0.5046383234552212
07234000,0.40272407173425295
06794650,0.29234724174400994
06843500,0.5078014601222931
07156900,0.35744450140550205
06795500,0.7737800388871389
07157500,0.23692470126659904
06847900,0.27545739860368745
07144100,0.20875556274654292
07143672,0.2421496945301717
07143375,0.4742474077782982
06880800,0.05623338266416439
06847500,0.3323017701745806
07295500,0.24849747835214603
06657000,0.17690409600905532
06670500,0.4806598356284885
06775900,0.9384713040800532
06769525,0.5562118193105834
06847000,0.33974113569424935
06786000,0.9266333391357192
06784000,0.6985147453358513
06785500,0.9294403816612906
07144200,0.2050617933712239
06853500,0.4613409903015873
06770200,0.4456759553998956
06762500,0.6990439217308273
06828500,0.5327367333941754
06823000,0.615123338824243
06823500,0.6756024843204889
06846500,0.3211027692024437
06845110,0.2947388835835883
07141780,0.3504337401323805
07141200,0.3718637526470175
06838000,0.5744892930217222
