site_no,non_carbonate
06827000,0.6770278791723967
06835500,0.25243412407172805
06848500,0
07142575,0
07155590,0.6954191847472039
06836500,0
07228000,0.5384790367367407
06449100,0.10656583706990548
08080700,0.01991139522499857
06794000,0
07299890,0
06461500,0.3933716422114457
06768000,0.4854954634009858
07140850,0
06768035,0.4844155220226649
06800000,0
06447500,0.2182576059615045
06792500,0
07138070,0.5522711041719222
06449500,0.0811401282929357
06799100,0
07143665,0
06834000,0.3479137491279974
07233500,1.1019804115591713e-4
06768020,0.4913089762249361
06799350,0
07144910,0
06824000,0
06773500,0
06796500,0.3667986653053821
06764880,0.46522022598209817
06824500,0.2581820253062404
06785000,0
06827500,0.5237016436439094
06449000,0
06772775,0
06446700,0.17049585672190842
07235000,0
07139000,0.5354972101818598
06464500,0.22461692281725631
06674500,0.6374955562836596
07143300,0
06797500,0
06799315,0
06821500,0.3943724147825139
06769000,0
07141900,0
07141220,0.4584222417974707
07142300,0
06837000,0.282890301717478
07142680,0.40816878358189257
06793000,0
06772898,0
06852500,0
06844500,0.21397825449541055
06775500,0
06464100,0.27860083852700357
06799000,0
06853020,0.15169247299656768
06652000,0.6940621475837633
06770500,0.4752147485691835
07143330,0.3947794704364277
07141300,0.453740910781931
07234000,0.19588675254157997
06794650,0
06843500,0.23326568569595485
07156900,0.3400281134355331
06795500,0
07157500,0
06847900,0
07144100,0.03974492586137514
07143672,0
07143375,0.3925071463237373
06880800,0
06847500,0.03444809614414078
07295500,0.08650275635331456
06657000,0.7027004829782277
06670500,0.3840190288509798
06775900,0
06769525,0
06847000,0.06547313415070324
06786000,0
06784000,0
06785500,0
07144200,0.03772099947686198
06853500,0.14946247265895518
06770200,0.4787083905042288
06762500,0.799889688485101
06828500,0.33517532001319716
06823000,0.1649770129512247
06823500,0.04221109485423029
06846500,0.07861358789063332
06845110,0
07141780,0
07141200,0
06838000,0
